"year","month","avg_departure_delay","avg_arrival_delay","flights_per_month"
"2018","01",9.66,3.19,600720
"2018","02",9.77,4.15,556050
"2018","03",7.66,2.13,646045
"2018","04",8.35,3.61,641490
"2018","05",10.72,5.99,663029
"2018","06",13.25,8.83,669405
"2018","07",13.44,9.0,689108
"2018","08",13.96,10.1,687153
"2018","09",7.48,2.98,628422
"2018","10",7.11,3.06,665144
"2018","11",9.68,5.6,631581
"2018","12",9.18,3.71,641818
"2019","01",10.0,4.71,619547
"2019","02",13.71,9.31,565145
"2019","03",9.15,3.49,675943
"2019","04",10.37,4.71,652952
"2019","05",11.99,7.03,680766
"2019","06",16.0,11.99,680459
"2019","07",14.23,8.97,703717
"2019","08",12.7,7.75,705249
"2019","09",6.5,0.48,649952
"2019","10",7.99,2.65,687120
"2019","11",6.8,0.46,649787
"2019","12",12.47,6.44,673129
